"APN","Record Type","DevelopmentRight","LandCapability","IPESScore","CumulativeBankedQuantity","RemainingBankedQuantity","Jurisdiction","LocalPlan","DateBankedOrApproved","HRA","LastUpdated","TransactionNumber","SendingParcel","ReceivingParcel","LandBank","TransactionApprovalDate"
"1318-24-404-018","Banked Commodity","Coverage (hard)","Bailey 1a",,"478","0","Douglas County, NV (DGCO)","KINGSBURY HEIGHTS","08/07/2018","South Stateline","08/07/2018",,,,,
"1318-24-404-018","Banked Commodity","Coverage (hard)","Bailey 2",,"870","0","Douglas County, NV (DGCO)","KINGSBURY HEIGHTS","08/07/2018","South Stateline","08/07/2018",,,,,
"1318-24-404-023","Banked Commodity","Coverage (hard)","Bailey 4",,"6138","6138","Douglas County, NV (DGCO)","KINGSBURY DRAINAGE","05/09/2019","South Stateline","08/23/2021",,,,,
"1318-24-404-023","Banked Commodity","Coverage (hard)","Bailey 6",,"1911","1911","Douglas County, NV (DGCO)","KINGSBURY DRAINAGE","05/09/2019","South Stateline","08/23/2021",,,,,
"1318-24-404-023","Banked Commodity","Coverage (hard)","IPES","886","653","653","Douglas County, NV (DGCO)","KINGSBURY DRAINAGE","05/09/2019","South Stateline","08/23/2021",,,,,
"1318-24-710-007","Banked Commodity","Potential Residential Unit of Use (PRUU)","n/a",,"1","1","Douglas County, NV (DGCO)","KINGSBURY HEIGHTS","08/23/2018","South Stateline","10/11/2018",,,,,
"1318-24-710-019","Banked Commodity","Coverage (soft)","Bailey 1a",,"6820","0","Douglas County, NV (DGCO)","Kingsbury Heights","02/27/2014","South Stateline","12/07/2023",,,,,
"1318-25-101-001","Banked Commodity","Coverage (soft)","Bailey 1a",,"1600","1600","Douglas County, NV (DGCO)","PALISADES","10/19/2006","South Stateline","09/08/2016",,,,,
"1318-25-111-006","Banked Commodity","Coverage (soft)","Bailey 1a",,"341","341","Douglas County, NV (DGCO)","PALISADES","06/05/2023","South Stateline","12/13/2024",,,,,
"1318-26-101-011","Banked Commodity","Commercial Floor Area (CFA)","Bailey 1a",,"12000","5500","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","05/22/2007","South Stateline","12/09/2019",,,,,
"1318-26-101-011","Banked Commodity","Coverage (hard)","Bailey 1a",,"4803","4803","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","06/14/2019","South Stateline","09/16/2019",,,,,
"1318-26-101-011","Banked Commodity","Coverage (hard)","Bailey 3",,"6276","6276","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","06/14/2019","South Stateline","09/16/2019",,,,,
"1318-26-101-034","Banked Commodity","Coverage (hard)","Bailey 4",,"32","32","Douglas County, NV (DGCO)","MIDDLE KINGSBURY","07/02/2019","South Stateline","10/13/2021",,,,,
"1318-26-101-084","Banked Commodity","Coverage (hard)","Bailey 4",,"5","5","Douglas County, NV (DGCO)","MIDDLE KINGSBURY","04/03/2019","South Stateline","07/17/2020",,,,,
"1318-26-101-092","Banked Commodity","Commercial Floor Area (CFA)","Bailey 3",,"5572","1580","Douglas County, NV (DGCO)","South Shore Area Plan","07/22/2013","South Stateline","01/11/2019",,,,,
"1318-26-512-001","Banked Commodity","Coverage (soft)","Bailey 1b",,"897","897","Douglas County, NV (DGCO)","MIDDLE KINGSBURY","06/16/2008","South Stateline","09/08/2016",,,,,
"1318-26-514-023","Banked Commodity","Coverage (hard)","Bailey 3",,"100","100","Douglas County, NV (DGCO)","MIDDLE KINGSBURY","08/30/2012","South Stateline","07/19/2017",,,,,
"1318-26-515-027","Banked Commodity","Coverage (hard)","IPES","684","1605","1605","Douglas County, NV (DGCO)","MIDDLE KINGSBURY","09/12/1996","South Stateline","02/20/2024",,,,,
"1318-26-515-027","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","684","1","1","Douglas County, NV (DGCO)","MIDDLE KINGSBURY","09/12/1996","South Stateline","02/20/2024",,,,,
"1318-26-601-008","Banked Commodity","Coverage (soft)","Bailey 1a",,"681","681","Douglas County, NV (DGCO)","KINGSBURY DRAINAGE","02/08/2021","South Stateline","08/04/2022",,,,,
"1318-27-001-007","Banked Commodity","Coverage (hard)","Bailey 5",,"4898","4898","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","01/19/2016","South Stateline","04/17/2018",,,,,
"1318-27-001-009","Banked Commodity","Coverage (hard)","Bailey 7",,"40616","40616","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","07/21/2014","South Stateline","02/05/2024",,,,,
"1318-27-001-015","Banked Commodity","Coverage (hard)","Bailey 1b",,"27152","27152","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","06/14/2022","South Stateline","10/11/2024",,,,,
"1318-27-001-015","Banked Commodity","Coverage (hard)","Bailey 3",,"225","225","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","08/21/2020","South Stateline","10/11/2024",,,,,
"1318-27-001-015","Banked Commodity","Coverage (hard)","Bailey 5",,"44017","44017","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","08/21/2020","South Stateline","10/11/2024",,,,,
"1318-27-001-015","Banked Commodity","Coverage (hard)","Bailey 6",,"2557","2557","Douglas County, NV (DGCO)","SOUTH SHORE AREA PLAN","08/21/2020","South Stateline","10/11/2024",,,,,
"1319-07-002-014","Banked Commodity","Coverage (soft)","Bailey 1a",,"61717","0","Douglas County, NV (DGCO)","Genoa Peak","11/02/2015","Cave Rock","10/03/2019",,,,,
"1319-07-002-014","Banked Commodity","Potential Residential Unit of Use (PRUU)","IPES","806","1","1","Douglas County, NV (DGCO)","Genoa Peak","10/15/2019","Cave Rock","11/04/2021",,,,,
"1319-18-212-018","Banked Commodity","Coverage (hard)","Bailey 4",,"357","357","Douglas County, NV (DGCO)","KINGSBURY VILLAGE","09/13/2021","South Stateline","08/20/2024",,,,,
"1319-18-402-001","Banked Commodity","Coverage (soft)","Bailey 4",,"4437","4437","Douglas County, NV (DGCO)","KINGSBURY VILLAGE","06/05/2024","South Stateline","12/13/2024",,,,,
"1319-18-412-013","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 1a",,"1","1","Douglas County, NV (DGCO)","KINGSBURY VILLAGE","09/28/2023","South Stateline","08/13/2024",,,,,
"1319-18-414-009","Banked Commodity","Coverage (hard)","IPES","548","61","61","Douglas County, NV (DGCO)","KINGSBURY VILLAGE","01/25/2019","South Stateline","07/17/2024",,,,,
"1319-19-112-010","Banked Commodity","Coverage (hard)","IPES","657","6","6","Douglas County, NV (DGCO)","KINGSBURY VILLAGE","02/17/2009","South Stateline","10/11/2017",,,,,
"1319-19-210-003","Banked Commodity","Coverage (hard)","Bailey 1a",,"877","877","Douglas County, NV (DGCO)","UPPER KINGSBURY","07/16/2013","South Stateline","08/31/2017",,,,,
"1319-19-210-003","Banked Commodity","Coverage (soft)","Bailey 1a",,"137","137","Douglas County, NV (DGCO)","UPPER KINGSBURY","07/16/2013","South Stateline","08/31/2017",,,,,
"1319-19-212-053","Banked Commodity","Coverage (hard)","Bailey 1a",,"2","2","Douglas County, NV (DGCO)","UPPER KINGSBURY","10/13/2020","South Stateline","07/24/2023",,,,,
"1319-19-410-012","Banked Commodity","Coverage (hard)","Bailey 1a",,"40","40","Douglas County, NV (DGCO)","UPPER KINGSBURY","05/17/2023","South Stateline","10/31/2024",,,,,
"1319-19-411-016","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 2",,"1","1","Douglas County, NV (DGCO)",,"01/05/2022","South Stateline","01/13/2022",,,,,
"1319-19-411-018","Banked Commodity","Coverage (hard)","Bailey 1c",,"768","768","Douglas County, NV (DGCO)","UPPER KINGSBURY","08/21/2019","South Stateline","01/28/2021",,,,,
"1319-19-810-001","Banked Commodity","Coverage (hard)","Bailey 1a",,"452","452","Douglas County, NV (DGCO)","UPPER KINGSBURY","05/24/2000","South Stateline","12/22/2015",,,,,
"1319-30-101-005","Banked Commodity","Coverage (hard)","Bailey 2",,"136","136","Douglas County, NV (DGCO)","HEAVENLY VALLEY NEVADA","06/12/2012","South Stateline","01/01/2016",,,,,
"1319-30-101-005","Banked Commodity","Persons-at-one-time (PAOT)","n/a",,"124","124","Douglas County, NV (DGCO)","HEAVENLY VALLEY NEVADA","06/12/2012","South Stateline","01/01/2016",,,,,
"132-011-07","Banked Commodity","Coverage (hard)","Bailey 6",,"619","619","Washoe County, NV (WACO)","Washoe County Tahoe Area Plan","06/17/2022","Incline","06/22/2022",,,,,
"132-012-01","Banked Commodity","Commercial Floor Area (CFA)","Bailey 6",,"13","13","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","02/22/1996","Incline","11/05/2018",,,,,
"132-040-00","Banked Commodity","Coverage (hard)","Bailey 4",,"9152","9152","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","07/21/2020","Incline","07/29/2020",,,,,
"132-211-01","Banked Commodity","Coverage (soft)","Bailey 6",,"4853","4853","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","09/11/2007","Incline","07/11/2016",,,,,
"132-211-02","Banked Commodity","Coverage (soft)","Bailey 6",,"3910","3910","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","09/11/2007","Incline","07/11/2016",,,,,
"132-211-03","Banked Commodity","Coverage (soft)","Bailey 6",,"7299","7299","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","06/27/2008","Incline","07/11/2016",,,,,
"132-231-09","Banked Commodity","Commercial Floor Area (CFA)","Bailey 6",,"5354","3380","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN",,"Incline","04/30/2024",,,,,
"132-240-04","Banked Commodity","Coverage (hard)","Bailey 6",,"557","557","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","06/24/2018","Incline","07/22/2019",,,,,
"132-240-06","Banked Commodity","Coverage (hard)","Bailey 4",,"193","193","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","09/11/2019","Incline","11/13/2019",,,,,
"132-240-20","Banked Commodity","Commercial Floor Area (CFA)","Bailey 6",,"9700","9700","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN","07/21/2020","Incline","01/20/2022",,,,,
"132-400-00","Banked Commodity","Coverage (hard)","Bailey 6",,"171","171","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN",,"Incline","08/09/2023",,,,,
"132-400-00","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"0","4","Washoe County, NV (WACO)","WASHOE COUNTY TAHOE AREA PLAN",,"Incline","08/09/2023",,,,,
"1418-00-002-003","Banked Commodity","Coverage (hard)","Bailey 1a",,"1296","1296","Douglas County, NV (DGCO)","GENOA PEAK","03/02/2023","Cave Rock","03/21/2023",,,,,
"1418-02-410-002","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 4",,"1","1","Douglas County, NV (DGCO)","SPOONER LAKE","11/05/2008","Cave Rock","12/18/2017",,,,,
"1418-03-301-009","Banked Commodity","Coverage (hard)","Bailey 4",,"28","28","Douglas County, NV (DGCO)","SPOONER LAKE","05/24/2019","Marlette","10/31/2023",,,,,
"1418-03-301-011","Banked Commodity","Coverage (hard)","Bailey 1b",,"1512","1512","Douglas County, NV (DGCO)","GLENBROOK",,"Marlette","04/07/2023",,,,,
"1418-03-301-011","Banked Commodity","Coverage (hard)","Bailey 4",,"358","358","Douglas County, NV (DGCO)","GLENBROOK",,"Marlette","04/07/2023",,,,,
"1418-03-711-005","Banked Commodity","Coverage (hard)","Bailey 4",,"0","0","Douglas County, NV (DGCO)","GLENBROOK",,"Marlette","07/20/2023",,,,,
"1418-10-401-003","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","GLENBROOK","01/30/2020","Cave Rock","02/11/2021",,,,,
"1418-10-501-001","Banked Commodity","Coverage (soft)","Bailey 6",,"4214","4214","Douglas County, NV (DGCO)",,"04/16/2012","Cave Rock","09/02/2016",,,,,
"1418-10-510-003","Banked Commodity","Coverage (hard)","Bailey 1b",,"138","138","Douglas County, NV (DGCO)","GLENBROOK","10/26/2004","Cave Rock","11/22/2023",,,,,
"1418-10-510-003","Banked Commodity","Coverage (hard)","Bailey 5",,"16605","16605","Douglas County, NV (DGCO)","GLENBROOK","12/20/2018","Cave Rock","11/22/2023",,,,,
"1418-10-710-008","Banked Commodity","Coverage (hard)","Bailey 5",,"222","222","Douglas County, NV (DGCO)","GLENBROOK","12/12/2016","Cave Rock","11/07/2017",,,,,
"1418-10-801-012","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 2",,"1","1","Douglas County, NV (DGCO)","GLENBROOK","04/17/2008","Cave Rock","01/07/2016",,,,,
"1418-10-802-004","Banked Commodity","Coverage (hard)","Bailey 1b",,"916","916","Douglas County, NV (DGCO)","GLENBROOK","06/23/2020","Cave Rock","10/22/2024",,,,,
"1418-10-802-007","Banked Commodity","Coverage (hard)","Bailey 1b",,"916","916","Douglas County, NV (DGCO)","GLENBROOK","06/23/2020","Cave Rock","10/15/2024",,,,,
"1418-10-810-009","Banked Commodity","Coverage (hard)","Bailey 4",,"157","157","Douglas County, NV (DGCO)","GLENBROOK","02/10/2023","Cave Rock","08/21/2023",,,,,
"1418-11-110-012","Banked Commodity","Coverage (hard)","Bailey 5",,"38","38","Douglas County, NV (DGCO)","GLENBROOK","02/09/2018","Cave Rock","09/06/2019",,,,,
"1418-11-201-003","Banked Commodity","Coverage (hard)","Bailey 1a",,"177","177","Douglas County, NV (DGCO)","GLENBROOK","09/15/2016","Cave Rock","02/12/2019",,,,,
"1418-11-201-003","Banked Commodity","Coverage (soft)","Bailey 1a",,"83","83","Douglas County, NV (DGCO)","GLENBROOK","09/15/2016","Cave Rock","02/12/2019",,,,,
"1418-11-201-003","Banked Commodity","Coverage (soft)","Bailey 4",,"1189","1189","Douglas County, NV (DGCO)","GLENBROOK","09/15/2016","Cave Rock","02/12/2019",,,,,
"1418-11-303-002","Banked Commodity","Coverage (hard)","Bailey 5",,"0","0","Douglas County, NV (DGCO)","GLENBROOK",,"Cave Rock","07/08/2022",,,,,
"1418-11-303-004","Banked Commodity","Coverage (hard)","Bailey 5",,"3045","3045","Douglas County, NV (DGCO)","GLENBROOK","10/23/2012","Cave Rock","11/18/2020",,,,,
"1418-11-311-002","Banked Commodity","Coverage (hard)","Bailey 3",,"20","20","Douglas County, NV (DGCO)","GLENBROOK","05/23/2019","Cave Rock","07/15/2020",,,,,
"1418-11-410-004","Banked Commodity","Coverage (hard)","Bailey 1a",,"40","40","Douglas County, NV (DGCO)","GLENBROOK","06/15/2021","Cave Rock","10/27/2022",,,,,
"1418-15-110-010","Banked Commodity","Coverage (hard)","Bailey 4",,"203","203","Douglas County, NV (DGCO)","SHAKESPEARE POINT","02/17/2017","Cave Rock","08/08/2024",,,,,
"1418-15-511-005","Banked Commodity","Coverage (hard)","Bailey 4",,"36","36","Douglas County, NV (DGCO)","SHAKESPEARE POINT","06/02/1992","Cave Rock","03/28/2022",,,,,
"1418-15-511-027","Banked Commodity","Coverage (hard)","Bailey 1a",,"540","540","Douglas County, NV (DGCO)","SHAKESPEARE POINT",,"Cave Rock","06/26/2024",,,,,
"1418-15-701-001","Banked Commodity","Coverage (hard)","Bailey 6",,"7260","7260","Douglas County, NV (DGCO)","SHAKESPEARE POINT","04/01/2016","Cave Rock","06/28/2021",,,,,
"1418-15-701-001","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","SHAKESPEARE POINT","07/05/2016","Cave Rock","06/28/2021",,,,,
"1418-15-701-002","Banked Commodity","Coverage (hard)","Bailey 6",,"6781","6781","Douglas County, NV (DGCO)","SHAKESPEARE POINT","04/01/2016","Cave Rock","04/27/2022",,,,,
"1418-15-701-009","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 7",,"1","1","Douglas County, NV (DGCO)","SHAKESPEARE POINT","11/04/2015","Cave Rock","06/09/2016",,,,,
"1418-15-801-001","Banked Commodity","Coverage (hard)","Bailey 1b",,"18","18","Douglas County, NV (DGCO)","LOGAN CREEK","08/10/2021","Cave Rock","11/17/2021",,,,,
"1418-15-801-001","Banked Commodity","Coverage (soft)","Bailey 1b",,"743","743","Douglas County, NV (DGCO)","LOGAN CREEK","08/10/2021","Cave Rock","11/17/2021",,,,,
"1418-15-801-001","Banked Commodity","Coverage (hard)","Bailey 4",,"1846","1846","Douglas County, NV (DGCO)","LOGAN CREEK","08/10/2021","Cave Rock","11/17/2021",,,,,
"1418-15-801-001","Banked Commodity","Coverage (soft)","Bailey 4",,"2023","2023","Douglas County, NV (DGCO)","LOGAN CREEK","08/10/2021","Cave Rock","11/17/2021",,,,,
"1418-15-801-006","Banked Commodity","Coverage (hard)","Bailey 2",,"430","430","Douglas County, NV (DGCO)","LOGAN CREEK","12/02/2022","Cave Rock","11/07/2024",,,,,
"1418-15-801-006","Banked Commodity","Coverage (hard)","Bailey 4",,"1115","1115","Douglas County, NV (DGCO)","LOGAN CREEK","12/02/2022","Cave Rock","11/07/2024",,,,,
"1418-15-801-010","Banked Commodity","Coverage (hard)","Bailey 1b",,"20","20","Douglas County, NV (DGCO)","LOGAN CREEK","09/27/2018","Cave Rock","01/06/2022",,,,,
"1418-15-801-010","Banked Commodity","Coverage (hard)","Bailey 2",,"133","133","Douglas County, NV (DGCO)","LOGAN CREEK","09/27/2018","Cave Rock","01/06/2022",,,,,
"1418-15-801-010","Banked Commodity","Coverage (hard)","Bailey 4",,"278","278","Douglas County, NV (DGCO)","LOGAN CREEK","01/05/2022","Cave Rock","01/06/2022",,,,,
"1418-15-801-010","Banked Commodity","Coverage (soft)","Bailey 4",,"40","40","Douglas County, NV (DGCO)","LOGAN CREEK","09/27/2018","Cave Rock","01/06/2022",,,,,
"1418-15-801-010","Banked Commodity","Coverage (hard)","Bailey 6",,"97","97","Douglas County, NV (DGCO)","LOGAN CREEK","01/05/2022","Cave Rock","01/06/2022",,,,,
"1418-27-210-004","Banked Commodity","Coverage (hard)","Bailey 2",,"2811","2811","Douglas County, NV (DGCO)","Cave Rock","05/07/2018","Cave Rock","10/11/2019",,,,,
"1418-27-210-005","Banked Commodity","Coverage (hard)","Bailey 1b",,"0","0","Douglas County, NV (DGCO)","CAVE ROCK",,"Cave Rock","12/16/2024",,,,,
"1418-27-210-005","Banked Commodity","Coverage (hard)","Bailey 2",,"4","4","Douglas County, NV (DGCO)","CAVE ROCK","08/20/2024","Cave Rock","12/16/2024",,,,,
"1418-27-210-036","Banked Commodity","Coverage (soft)","Bailey 4",,"606","606","Douglas County, NV (DGCO)","CAVE ROCK","09/01/2016","Cave Rock","07/05/2022",,,,,
"1418-27-601-007","Banked Commodity","Coverage (soft)","Bailey 1a",,"12587","12587","Douglas County, NV (DGCO)","GENOA PEAK","11/03/2012","Cave Rock","07/11/2019",,,,,
"1418-27-601-007","Banked Commodity","Coverage (soft)","Bailey 1b",,"615","615","Douglas County, NV (DGCO)","GENOA PEAK","11/03/2012","Cave Rock","07/11/2019",,,,,
"1418-27-810-027","Banked Commodity","Coverage (hard)","Bailey 1a",,"1","1","Douglas County, NV (DGCO)","CAVE ROCK","01/25/2019","Cave Rock","03/10/2021",,,,,
"1418-34-110-021","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 7",,"2","2","Douglas County, NV (DGCO)","LINCOLN","10/03/2012","Cave Rock","12/11/2015",,,,,
"1418-34-110-060","Banked Commodity","Coverage (hard)","Bailey 1a",,"385","385","Douglas County, NV (DGCO)","LINCOLN","07/05/2017","Cave Rock","04/28/2020",,,,,
"1418-34-110-060","Banked Commodity","Coverage (hard)","Bailey 7",,"19","19","Douglas County, NV (DGCO)","LINCOLN","07/05/2017","Cave Rock","04/28/2020",,,,,
"1418-34-110-062","Banked Commodity","Coverage (hard)","Bailey 7",,"8","8","Douglas County, NV (DGCO)","LINCOLN","12/18/2013","Cave Rock","10/05/2017",,,,,
"1418-34-110-062","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 7",,"2","2","Douglas County, NV (DGCO)","LINCOLN","07/11/2012","Cave Rock","10/05/2017",,,,,
"1418-34-110-064","Banked Commodity","Coverage (hard)","Bailey 7",,"454","332","Douglas County, NV (DGCO)","LINCOLN","09/12/2016","Cave Rock","01/09/2019",,,,,
"1418-34-112-002","Banked Commodity","Coverage (hard)","Bailey 1a",,"704","0","Douglas County, NV (DGCO)","LAKERIDGE","09/21/2018","Cave Rock","11/12/2018",,,,,
"1418-34-112-002","Banked Commodity","Coverage (soft)","Bailey 1a",,"196","0","Douglas County, NV (DGCO)","LAKERIDGE","09/21/2018","Cave Rock","11/12/2018",,,,,
"1418-34-112-006","Banked Commodity","Coverage (soft)","IPES","667","7","7","Douglas County, NV (DGCO)","LAKERIDGE","10/06/2021","Cave Rock","10/06/2022",,,,,
"1418-34-112-010","Banked Commodity","Coverage (hard)","Bailey 1a",,"40","40","Douglas County, NV (DGCO)","LAKERIDGE","04/30/2020","Cave Rock","10/13/2023",,,,,
"1418-34-113-001","Banked Commodity","Coverage (hard)","Bailey 1b",,"1270","1270","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","05/09/2017",,,,,
"1418-34-113-001","Banked Commodity","Commercial Floor Area (CFA)","Bailey 6",,"1752","1752","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","05/09/2017",,,,,
"1418-34-113-001","Banked Commodity","Coverage (hard)","Bailey 6",,"8757","8757","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","05/09/2017",,,,,
"1418-34-113-002","Banked Commodity","Potential Residential Unit of Use (PRUU)","Bailey 1a",,"5","5","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","06/05/2024",,,,,
"1418-34-113-002","Banked Commodity","Coverage (hard)","Bailey 2",,"3389","3389","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","06/05/2024",,,,,
"1418-34-113-002","Banked Commodity","Coverage (hard)","Bailey 4",,"10164","9623","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","06/05/2024",,,,,
"1418-34-113-002","Banked Commodity","Coverage (hard)","Bailey 6",,"19924","17144","Douglas County, NV (DGCO)","LINCOLN","02/13/2020","Cave Rock","06/05/2024",,,,,
"1418-34-113-002","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"4","3","Douglas County, NV (DGCO)","LINCOLN","03/29/2013","Cave Rock","06/05/2024",,,,,
"1418-34-113-003","Banked Commodity","Coverage (hard)","Bailey 6",,"1061","1055","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-003","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-004","Banked Commodity","Coverage (hard)","Bailey 6",,"1038","1038","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-004","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-005","Banked Commodity","Coverage (hard)","Bailey 6",,"1028","999","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/03/2023",,,,,
"1418-34-113-005","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/03/2023",,,,,
"1418-34-113-006","Banked Commodity","Coverage (hard)","Bailey 6",,"1089","1060","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/03/2023",,,,,
"1418-34-113-006","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/03/2023",,,,,
"1418-34-113-007","Banked Commodity","Coverage (hard)","Bailey 6",,"1060","1031","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/03/2023",,,,,
"1418-34-113-007","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/03/2023",,,,,
"1418-34-113-008","Banked Commodity","Coverage (hard)","Bailey 6",,"1056","1026","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/04/2023",,,,,
"1418-34-113-008","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/04/2023",,,,,
"1418-34-113-009","Banked Commodity","Coverage (hard)","Bailey 6",,"1061","1061","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/04/2023",,,,,
"1418-34-113-009","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","08/04/2023",,,,,
"1418-34-113-010","Banked Commodity","Coverage (hard)","Bailey 6",,"1067","1036","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-010","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-011","Banked Commodity","Coverage (hard)","Bailey 6",,"1098","1067","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-011","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-012","Banked Commodity","Coverage (hard)","Bailey 6",,"1087","1056","Douglas County, NV (DGCO)","LINCOLN","09/26/2019","Cave Rock","03/02/2023",,,,,
"1418-34-113-012","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-013","Banked Commodity","Coverage (hard)","Bailey 6",,"1059","1028","Douglas County, NV (DGCO)","LINCOLN","09/26/2019","Cave Rock","03/02/2023",,,,,
"1418-34-113-013","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-014","Banked Commodity","Coverage (hard)","Bailey 6",,"1071","1040","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/01/2023",,,,,
"1418-34-113-014","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/01/2023",,,,,
"1418-34-113-015","Banked Commodity","Coverage (hard)","Bailey 6",,"1059","1028","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-015","Banked Commodity","Single-Family Residential Unit of Use (SFRUU)","Bailey 6",,"1","1","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
"1418-34-113-016","Banked Commodity","Coverage (hard)","Bailey 6",,"1085","1057","Douglas County, NV (DGCO)","LINCOLN","05/09/2013","Cave Rock","03/02/2023",,,,,
