APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory
031-233-014,Transfer Receiving Parcel,Coverage (potential),IPES,852.0,391,,03/29/2023,TRPA-TRF-2154,03/29/2023,035-224-009,,,,Non-Sensitive
031-236-009,Transfer Receiving Parcel,Coverage (potential),IPES,841.0,184,,03/05/2024,TRPA-TRF-2408,07/14/2016,023-141-005,,CORR2024-0212,CORR2024-0212,Non-Sensitive
031-236-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,959.0,1,,04/27/2018,TRPA-TRF-570,04/03/2018,090-141-037,,TRAN2017-0912,,Non-Sensitive
031-241-24,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,3532,,01/22/2018,TRPA-TRF-611,07/03/2014,023-201-075,,TRAN2013-0685,TRAN2013-0685,Non-Sensitive
031-274-001,Transfer Receiving Parcel,Coverage (potential),6,,52,,03/29/2023,TRPA-TRF-2153,03/29/2023,035-224-009,,,,Non-Sensitive
031-284-004,Transfer Receiving Parcel,Multi-Family Residential Unit of Use (MFRUU),IPES,950.0,1,,11/08/2022,TRPA-TRF-2065,10/14/2022,032-291-029,,TRAN2022-0825,,Non-Sensitive
032-090-005,Transfer Receiving Parcel,Restoration Credit,1b,,25000,,05/25/2023,TRPA-TRF-2276,05/23/2023,027-073-029,,CORR2023-0519,CORR2023-0519,SEZ
032-141-011,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,969.0,1,,08/12/2020,TRPA-TRF-1111,07/07/2020,022-061-010,,TRAN2020-0192,,Non-Sensitive
032-141-012,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/12/2018,TRPA-TRF-599,03/07/2018,023-892-002,,TRAN2017-1142,16060121,Non-Sensitive
032-141-012,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/13/2018,TRPA-TRF-600,03/07/2018,023-696-013,,TRAN2017-1143,,Non-Sensitive
032-141-012,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/13/2018,TRPA-TRF-601,03/07/2018,023-644-013,,TRAN2017-1144,,Non-Sensitive
032-161-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,5,,03/22/2023,TRPA-TRF-1452,03/21/2023,023-151-003,,TRAN2021-0167,,Non-Sensitive
032-161-001,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,07/27/2022,TRPA-TRF-1881,07/27/2022,033-306-005,,TRAN2021-1462,TRAN2021-1462,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,07/26/2021,TRPA-TRF-1444,07/14/2021,033-494-015,,TRAN2021-0112,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,07/26/2021,TRPA-TRF-1445,07/14/2021,035-294-002,,TRAN2021-0113,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,07/26/2021,TRPA-TRF-1446,07/14/2021,033-305-002,,TRAN2021-0114,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,07/26/2021,TRPA-TRF-1447,07/14/2021,034-791-002,,TRAN2021-0115,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,07/26/2021,TRPA-TRF-1448,07/14/2021,033-305-004,,TRAN2021-0123,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,03/08/2022,TRPA-TRF-1831,03/07/2022,080-102-016,,TRAN2021-0860,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,07/27/2022,TRPA-TRF-1832,07/26/2022,081-112-014,,TRAN2021-0859,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,03/08/2022,TRPA-TRF-1833,03/07/2022,023-756-014,,TRAN2021-0856,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,03/08/2022,TRPA-TRF-1834,03/07/2022,033-432-005,,TRAN2021-0858,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,03/08/2022,TRPA-TRF-1835,03/07/2022,034-153-006,,TRAN2021-0876,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,995.0,1,,03/08/2022,TRPA-TRF-1836,03/07/2022,034-212-001,,TRAN2021-0877,,Non-Sensitive
032-161-002,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,995.0,1,,05/03/2022,TRPA-TRF-1874,05/02/2022,025-552-001,,TRAN2021-1723,,Non-Sensitive
032-161-008,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,07/20/2021,TRPA-TRF-1468,12/08/2020,032-142-006,,TRAN2020-1143,,Non-Sensitive
032-161-012,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,6,,03/22/2023,TRPA-TRF-1451,03/21/2023,023-151-003,,TRAN2021-0168,,Non-Sensitive
032-162-001,Transfer Receiving Parcel,Commercial Floor Area (CFA),IPES,857.0,112,,11/10/2021,TRPA-TRF-1822,11/10/2021,127-090-04,,TRAN2021-1168,,Non-Sensitive
032-191-021,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,10849,,01/08/2016,TRPA-TRF-356,05/29/2015,023-201-075,,TRAN2014-1102,,Non-Sensitive
032-191-021,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,18000,,10/31/2017,TRPA-TRF-380,10/03/2017,023-392-003,,TRAN2016-0457,,Non-Sensitive
032-242-005,Transfer Receiving Parcel,Coverage (potential),IPES,1011.0,915,,03/05/2024,TRPA-TRF-2407,03/05/2020,023-141-005,,CORR2024-0210,CORR2024-0210,Non-Sensitive
032-274-007,Transfer Receiving Parcel,Coverage (potential),IPES,880.0,300,,11/04/2015,TRPA-TRF-298,01/26/2015,034-161-021,,TRAN2014-1377,,Non-Sensitive
032-277-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,951.0,1,,04/27/2023,TRPA-TRF-2120,03/30/2023,016-313-010,,TRAN2022-1566,,Non-Sensitive
032-279-009,Transfer Receiving Parcel,Coverage (potential),IPES,834.0,300,,11/27/2023,TRPA-TRF-2335,10/27/2023,033-672-010,,CORR2023-1519,CORR2023-1519,Non-Sensitive
032-282-003,Transfer Receiving Parcel,Coverage (potential),IPES,758.0,579,,02/29/2024,TRPA-TRF-2349,05/26/2023,023-142-023,,CORR2023-1635,CORR2023-1635,Non-Sensitive
032-282-004,Transfer Receiving Parcel,Coverage (potential),IPES,758.0,591,,02/29/2024,TRPA-TRF-2350,05/26/2023,023-142-023,,CORR2023-1635,CORR2023-1635,Non-Sensitive
032-282-015,Transfer Receiving Parcel,Coverage (potential),IPES,781.0,134,,03/10/2023,TRPA-TRF-2131,02/23/2023,081-152-014,,CORR2023-0236,,Non-Sensitive
032-282-016,Transfer Receiving Parcel,Coverage (potential),5,,550,,01/21/2025,TRPA-TRF-2651,07/17/2024,032-090-005,,CORR2024-1644,CORR2024-1644,Non-Sensitive
032-291-028,Transfer Receiving Parcel,Coverage (hard),7,,39802,,08/22/2023,TRPA-TRF-2292,07/26/2023,033-050-006,,TRAN2023-0860,TRAN2023-0860,Non-Sensitive
032-291-028,Transfer Receiving Parcel,Coverage (hard),7,,14319,,08/12/2024,TRPA-TRF-2574,08/12/2024,033-050-006,,TRAN2024-0768,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,02/03/2022,TRPA-TRF-1443,02/02/2022,023-181-038,,TRAN2021-0062,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,2,,11/04/2022,TRPA-TRF-2030,10/11/2022,027-010-016,,TRAN2022-0999,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/04/2022,TRPA-TRF-2040,10/22/2022,032-141-003,,TRAN2022-0998,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,9,,01/25/2023,TRPA-TRF-2083,01/06/2023,032-141-003,,TRAN2022-1389,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,21,,02/08/2024,TRPA-TRF-2387,03/09/2023,026-049-002,,TRAN2022-1418,TRAN2022-1418,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2526,08/27/2024,025-202-012,,TRAN2024-0028,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2527,08/27/2024,027-154-020,,TRAN2024-0028,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2528,08/27/2024,028-100-048,,TRAN2024-0028,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2529,08/27/2024,028-141-025,,TRAN2024-0028,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2530,08/27/2024,031-079-004,,TRAN2024-0028,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,09/24/2024,TRPA-TRF-2531,08/27/2024,032-277-006,,TRAN2024-0028,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Commercial Floor Area (CFA),7,,100,,09/18/2024,TRPA-TRF-2573,08/12/2024,027-040-043,,TRAN2024-0762,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/06/2025,TRPA-TRF-2661,03/05/2025,014-303-002,,TRAN2024-0995,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/06/2025,TRPA-TRF-2662,03/05/2025,025-643-005,,TRAN2024-0995,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/06/2025,TRPA-TRF-2663,03/05/2025,025-644-005,,TRAN2024-0995,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/06/2025,TRPA-TRF-2664,03/05/2025,025-734-004,,TRAN2024-0995,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/06/2025,TRPA-TRF-2665,03/05/2025,025-734-006,,TRAN2024-0995,,Non-Sensitive
032-291-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),7,,1,,03/06/2025,TRPA-TRF-2666,03/05/2025,025-744-004,,TRAN2024-0995,,Non-Sensitive
032-291-031,Transfer Receiving Parcel,Coverage (hard),7,,10198,,11/08/2022,TRPA-TRF-2020,10/14/2022,033-050-006,,TRAN2022-0933,,Non-Sensitive
032-313-015,Transfer Receiving Parcel,Restoration Credit,7,,916,,02/26/2025,TRPA-TRF-2688,11/14/2024,036-571-007,,CORR2025-0244,CORR2025-0244,Non-Sensitive
032-343-005,Transfer Receiving Parcel,Coverage (potential),IPES,525.0,101,,10/14/2020,TRPA-TRF-1282,10/13/2020,033-305-002,,TRAN2020-1000,TRAN2020-1000,Sensitive
032-343-005,Transfer Receiving Parcel,Coverage (potential),IPES,525.0,121,,10/14/2020,TRPA-TRF-1283,10/13/2020,033-494-015,,TRAN2020-0999,TRAN2020-0999,Sensitive
032-343-005,Transfer Receiving Parcel,Coverage (potential),IPES,525.0,60,,10/14/2020,TRPA-TRF-1284,10/13/2020,035-294-002,,TRAN2020-0998,TRAN2020-0998,Sensitive
032-343-005,Transfer Receiving Parcel,Coverage (potential),IPES,525.0,103,,10/14/2020,TRPA-TRF-1285,10/13/2020,033-305-004,,TRAN2020-0997,TRAN2020-0887,Sensitive
032-343-005,Transfer Receiving Parcel,Coverage (potential),IPES,525.0,79,,10/14/2020,TRPA-TRF-1286,10/13/2020,034-791-002,,TRAN2020-0996,TRAN2020-0996,Sensitive
032-352-006,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,702.0,1,,10/09/2020,TRPA-TRF-1290,09/18/2020,026-075-019,,TRAN2020-0995,,Sensitive
032-510-001,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,5000,,06/22/2020,TRPA-TRF-640,06/10/2020,023-393-003,,TRAN2018-0119,,Non-Sensitive
032-510-003,Transfer Receiving Parcel,Coverage (hard),6,,2080,,12/11/2019,TRPA-TRF-390,09/12/2019,031-030-032,,TRAN2016-0515,,Non-Sensitive
032-510-003,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,346,,04/19/2024,TRPA-TRF-2519,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
032-510-004,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,514,,04/19/2024,TRPA-TRF-2520,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508 ,Non-Sensitive
032-510-005,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,211,,04/19/2024,TRPA-TRF-2522,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
032-510-006,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,414,,04/19/2024,TRPA-TRF-2521,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508 ,Non-Sensitive
032-510-007,Transfer Receiving Parcel,Coverage (soft),1b,,549,,09/07/2022,TRPA-TRF-2023,08/24/2022,025-081-013,,TRAN2022-0223,TRAN2022-0223,SEZ
032-510-008,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,33,,04/19/2024,TRPA-TRF-2523,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
032-510-009,Transfer Receiving Parcel,Coverage (soft),1b,,549,,09/07/2022,TRPA-TRF-2024,08/25/2022,025-081-013,,TRAN2022-0224,,SEZ
032-510-010,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,2199,,04/19/2024,TRPA-TRF-2524,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
032-510-011,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,1283,,04/19/2024,TRPA-TRF-2525,02/27/2024,023-374-002,,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
033-132-003,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,1000,,01/07/2020,TRPA-TRF-851,06/19/2019,1318-26-101-011,,TRAN2019-0541,ERSP2017-1084,Non-Sensitive
033-312-016,Transfer Receiving Parcel,Coverage (potential),IPES,785.0,107,,03/27/2018,TRPA-TRF-644,07/31/2017,081-152-014,,TRAN2018-0144,CTC Transfer,Non-Sensitive
033-402-002,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,05/06/2024,TRPA-TRF-2310,11/22/2023,033-542-010,,TRAN2023-0539,,Non-Sensitive
033-472-010,Transfer Receiving Parcel,Coverage (potential),IPES,696.0,2180,,11/19/2015,TRPA-TRF-105,05/06/2013,032-100-006,,TRAN2013-0173,,Sensitive
033-472-010,Transfer Receiving Parcel,Coverage (potential),IPES,696.0,91,,08/28/2023,TRPA-TRF-2039,09/26/2022,034-270-055,,CORR2022-1381,,Sensitive
033-562-001,Transfer Receiving Parcel,Coverage (potential),IPES,803.0,663,,01/07/2020,TRPA-TRF-987,11/21/2019,031-195-009,,CORR2020-0003,CTC Transfer,Non-Sensitive
033-565-005,Transfer Receiving Parcel,Coverage (potential),IPES,665.0,1194,,03/12/2018,TRPA-TRF-91,03/05/2014,032-100-006,,TRAN2013-0749,,Sensitive
033-574-007,Transfer Receiving Parcel,Coverage (potential),IPES,743.0,610,,03/05/2024,TRPA-TRF-2406,08/22/2016,023-141-005,,CORR2024-0208,CORR2024-0208,Non-Sensitive
033-575-004,Transfer Receiving Parcel,Coverage (potential),IPES,756.0,139,,05/07/2018,TRPA-TRF-650,06/12/2015,025-741-001,,TRAN2018-0273,CTC Transfer,Non-Sensitive
033-644-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,719.0,1,,08/17/2022,TRPA-TRF-2015,07/27/2022,026-075-019,,TRAN2022-0750,,Sensitive
033-682-008,Transfer Receiving Parcel,Coverage (potential),IPES,740.0,1080,,03/27/2018,TRPA-TRF-646,07/31/2017,034-161-003,,TRAN2018-0146,CTC Transfer,Non-Sensitive
033-715-003,Transfer Receiving Parcel,Coverage (potential),IPES,771.0,575,,03/26/2021,TRPA-TRF-1304,02/01/2021,081-121-001,,TRAN2020-1070,,Non-Sensitive
033-744-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,492.0,1,,11/08/2022,TRPA-TRF-1975,06/29/2022,026-075-019,,TRAN2022-0034,,Sensitive
033-781-006,Transfer Receiving Parcel,Coverage (potential),IPES,654.0,1701,,12/02/2024,TRPA-TRF-2631,05/02/2024,032-090-011,,CORR2024-1575,CORR2024-1575,Sensitive
033-801-006,Transfer Receiving Parcel,Coverage (potential),5,,313,,04/11/2024,TRPA-TRF-2516,02/29/2024,031-020-033,,CORR2024-0378,CORR2024-0378,Non-Sensitive
033-801-007,Transfer Receiving Parcel,Coverage (potential),IPES,652.0,2233,,04/27/2023,TRPA-TRF-2219,03/27/2023,032-090-011,,CORR2023-0429,,Sensitive
033-813-005,Transfer Receiving Parcel,Coverage (potential),IPES,742.0,1846,,01/06/2020,TRPA-TRF-981,11/21/2019,034-752-008,,CORR2019-1206,CORR2019-1206,Non-Sensitive
033-837-001,Transfer Receiving Parcel,Coverage (potential),IPES,792.0,212,,12/20/2024,TRPA-TRF-2642,06/02/2021,033-644-012,,CORR2024-1621,CORR2024-1621,Non-Sensitive
033-854-015,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,772.0,1,,05/07/2024,TRPA-TRF-1830,04/12/2024,023-141-027,,TRAN2021-0555,,Non-Sensitive
033-857-020,Transfer Receiving Parcel,Coverage (potential),IPES,732.0,597,,11/23/2020,TRPA-TRF-602,01/22/2018,081-121-001,,TRAN2017-1160,,Non-Sensitive
033-864-010,Transfer Receiving Parcel,Coverage (potential),IPES,704.0,36,,05/03/2024,TRPA-TRF-2535,12/22/2023,033-050-018,,CORR2024-0049,CORR2024-0049,Sensitive
033-882-003,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,620.0,1,,04/27/2023,TRPA-TRF-2022,04/17/2023,026-075-019,,TRAN2022-0938,TRAN2022-0938,Sensitive
033-882-003,Transfer Receiving Parcel,Coverage (potential),IPES,620.0,1079,,11/27/2023,TRPA-TRF-2339,05/09/2023,032-100-006,,CORR2023-1523,CORR2023-1523,Sensitive
033-882-003,Transfer Receiving Parcel,Coverage (hard),IPES,620.0,1260,,02/08/2024,TRPA-TRF-2389,05/08/2023,033-180-004,,TRAN2022-0984,TRAN2022-0984,Sensitive
034-097-008,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,06/21/2024,TRPA-TRF-2558,06/11/2024,034-652-010,,TRAN2024-0189,,Non-Sensitive
034-111-004,Transfer Receiving Parcel,Coverage (potential),IPES,799.0,65,,03/09/2023,TRPA-TRF-2130,02/23/2023,034-153-012,,CORR2023-0235,,Non-Sensitive
034-112-008,Transfer Receiving Parcel,Coverage (potential),IPES,574.0,138,,02/26/2025,TRPA-TRF-2686,09/30/2024,032-090-011,,CORR2025-0241,CORR2025-0241,Sensitive
034-122-003,Transfer Receiving Parcel,Commercial Floor Area (CFA),IPES,814.0,600,,01/13/2023,TRPA-TRF-1714,01/12/2023,093-130-014,,TRAN2021-0901,,Non-Sensitive
034-161-037,Transfer Receiving Parcel,Coverage (potential),IPES,748.0,749,,03/05/2024,TRPA-TRF-2405,08/23/2016,023-141-005,,CORR2024-0207,CORR2024-0207,Non-Sensitive
034-171-002,Transfer Receiving Parcel,Coverage (potential),IPES,596.0,417,,05/03/2024,TRPA-TRF-2373,01/24/2024,033-050-018,,CORR2024-0049,CORR2024-0049,Sensitive
034-171-023,Transfer Receiving Parcel,Coverage (potential),IPES,651.0,1855,,02/28/2025,TRPA-TRF-2690,02/18/2025,032-090-011,,CORR2025-0245,CORR2025-0245,Sensitive
034-172-001,Transfer Receiving Parcel,Coverage (hard),IPES,698.0,1436,,05/14/2020,TRPA-TRF-1110,04/21/2020,036-010-008,,TRAN2020-0184,,Sensitive
034-172-012,Transfer Receiving Parcel,Coverage (potential),IPES,636.0,100,,04/27/2023,TRPA-TRF-2220,03/27/2023,032-090-011,,CORR2023-0429,,Sensitive
034-192-013,Transfer Receiving Parcel,Coverage (potential),IPES,750.0,1625,,05/07/2019,TRPA-TRF-820,01/03/2019,034-096-007,,TRAN2019-0320,CTC Transfer,Non-Sensitive
034-242-002,Transfer Receiving Parcel,Coverage (potential),IPES,847.0,69,,07/23/2018,TRPA-TRF-647,06/06/2018,033-826-002,,TRAN2018-0206,,Non-Sensitive
034-251-005,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,12/13/2024,TRPA-TRF-2626,07/09/2024,032-162-001,,TRAN2024-0588,TRAN2024-0588,Non-Sensitive
034-266-007,Transfer Receiving Parcel,Coverage (potential),IPES,818.0,162,,05/07/2019,TRPA-TRF-830,11/14/2018,034-781-001,,TRAN2019-0357,CTC Transfer,Non-Sensitive
034-266-013,Transfer Receiving Parcel,Coverage (potential),IPES,827.0,204,,03/10/2023,TRPA-TRF-2133,02/23/2023,033-304-009,,CORR2023-0237,,Non-Sensitive
034-382-006,Transfer Receiving Parcel,Coverage (potential),IPES,768.0,1452,,11/28/2018,TRPA-TRF-752,09/12/2018,023-691-028,,TRAN2018-0866,,Non-Sensitive
034-452-003,Transfer Receiving Parcel,Coverage (potential),IPES,741.0,2185,,11/28/2018,TRPA-TRF-753,08/14/2018,033-754-002,,TRAN2018-0867,CTC Transfer,Non-Sensitive
034-473-004,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,830.0,1,,11/08/2022,TRPA-TRF-1980,07/06/2022,026-075-019,,TRAN2022-0325,,Non-Sensitive
034-482-004,Transfer Receiving Parcel,Coverage (hard),IPES,724.0,1728,,11/02/2018,TRPA-TRF-680,08/16/2018,036-010-008,,TRAN2018-0466,,Sensitive
034-522-006,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,795.0,1,,03/12/2024,TRPA-TRF-1435,05/17/2021,1418-34-113-001,,TRAN2021-0046,,Non-Sensitive
034-522-006,Transfer Receiving Parcel,Coverage (potential),IPES,795.0,559,,05/02/2023,TRPA-TRF-2226,04/07/2023,034-251-012,,CORR2023-0456,CORR2023-0456,Non-Sensitive
034-682-029,Transfer Receiving Parcel,Coverage (potential),IPES,753.0,856,,11/13/2019,TRPA-TRF-945,10/24/2019,031-144-002,,CORR2019-1099,,Non-Sensitive
034-722-039,Transfer Receiving Parcel,Coverage (potential),IPES,672.0,588,,11/04/2015,TRPA-TRF-304,08/17/2015,034-571-002,,TRAN2015-0429,,Sensitive
034-722-039,Transfer Receiving Parcel,Coverage (potential),IPES,672.0,780,,11/19/2015,TRPA-TRF-319,08/17/2015,033-160-004,,TRAN2015-0434,,Sensitive
035-131-004,Transfer Receiving Parcel,Coverage (potential),IPES,827.0,342,,03/10/2023,TRPA-TRF-2134,02/23/2023,033-304-009,,CORR2023-0237,,Non-Sensitive
035-211-010,Transfer Receiving Parcel,Coverage (potential),IPES,781.0,567,,03/27/2018,TRPA-TRF-645,04/03/2017,081-152-014,,TRAN2018-0145,CTC Transfer,Non-Sensitive
035-211-028,Transfer Receiving Parcel,Coverage (potential),IPES,797.0,331,,05/02/2023,TRPA-TRF-2227,04/07/2023,034-251-012,,CORR2023-0456,CORR2023-0456,Non-Sensitive
035-212-008,Transfer Receiving Parcel,Coverage (potential),IPES,627.0,1733,,04/27/2023,TRPA-TRF-2221,03/27/2023,032-090-011,,CORR2023-0429,,Sensitive
035-246-008,Transfer Receiving Parcel,Coverage (potential),IPES,780.0,206,,03/10/2023,TRPA-TRF-2132,02/23/2023,081-152-014,,CORR2023-0236,,Non-Sensitive
035-246-010,Transfer Receiving Parcel,Coverage (potential),IPES,828.0,84,,11/28/2018,TRPA-TRF-754,09/12/2018,081-111-002,,TRAN2018-0868,CTC Transfer,Non-Sensitive
035-262-012,Transfer Receiving Parcel,Coverage (potential),IPES,849.0,749,,12/07/2018,TRPA-TRF-769,08/27/2018,036-010-008,,TRAN2018-0367,,Non-Sensitive
035-272-009,Transfer Receiving Parcel,Coverage (potential),IPES,750.0,409,,02/29/2024,TRPA-TRF-2351,07/10/2017,023-142-023,,CORR2023-1635,CORR2023-1635,Non-Sensitive
035-292-002,Transfer Receiving Parcel,Coverage (potential),IPES,845.0,151,,03/05/2024,TRPA-TRF-2404,09/19/2016,023-141-005,,CORR2024-0206,CORR2024-0206,Non-Sensitive
036-380-024,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,03/29/2017,TRPA-TRF-425,10/17/2016,034-092-004,,TRAN2016-0733,,Non-Sensitive
036-611-019,Transfer Receiving Parcel,Coverage (potential),6,,1744,,05/07/2018,TRPA-TRF-649,11/20/2017,025-741-001,,TRAN2018-0272,CTC Transfer,Non-Sensitive
080-147-006,Transfer Receiving Parcel,Coverage (potential),IPES,738.0,1411,,01/07/2020,TRPA-TRF-986,11/21/2019,025-644-005,,CORR2020-0002,CTC Transfer,Non-Sensitive
080-153-002,Transfer Receiving Parcel,Coverage (potential),IPES,753.0,955,,03/09/2023,TRPA-TRF-2129,02/23/2023,033-285-015,,CORR2023-0231,,Non-Sensitive
080-154-020,Transfer Receiving Parcel,Coverage (potential),IPES,812.0,97,,12/02/2024,TRPA-TRF-2632,05/02/2024,034-781-001,,CORR2024-1577,CORR2024-1577,Non-Sensitive
080-155-024,Transfer Receiving Parcel,Coverage (potential),IPES,816.0,20,,01/06/2020,TRPA-TRF-980,11/21/2019,033-693-008,,CORR2019-1205,CORR2019-1205,Non-Sensitive
080-163-018,Transfer Receiving Parcel,Coverage (potential),IPES,727.0,1692,,03/05/2024,TRPA-TRF-2403,09/21/2017,023-141-005,,CORR2024-0205,CORR2024-0205,Non-Sensitive
080-172-006,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,980.0,1,,04/18/2022,TRPA-TRF-1821,04/14/2022,023-191-018,,TRAN2021-0714,TRAN2021-0714,Non-Sensitive
081-043-012,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,917.0,1,,08/19/2021,TRPA-TRF-1450,07/29/2021,026-075-019,,TRAN2021-0186,,Non-Sensitive
081-062-002,Transfer Receiving Parcel,Coverage (potential),IPES,692.0,249,,04/27/2023,TRPA-TRF-2222,03/27/2023,032-090-011,,CORR2023-0429,,Sensitive
081-091-011,Transfer Receiving Parcel,Coverage (potential),IPES,729.0,1172,,08/30/2018,TRPA-TRF-698,05/03/2018,081-043-007,,TRAN2018-0528,CTC Transfer,Non-Sensitive
