Permit #,Parcel #,Record Type,Project Name,Status,Opened,Number,Dir,Street Name,Type,Description,Project Office,Type of Work,Scope of Work,Issue Date,Base Allowable Coverage,Total Existing Coverage,Total Allowable Coverage,Total Proposed Coverage,Excess Coverage,Remaining Coverage,Transferred Coverage,New On-Site Coverage,Existing Off-Site Cov.,New Off-site Coverage,Coverage Exemp. Allow.,Coverage Exemption Taken,Deck Exemption Allowed,Deck Exemption Taken(sf),Pervious Coverage,Non Permanent Structure,Allocation,Allocation Number,Project/Parcel Size,Bailey Land Class(es),IPES,Coverage Percent,SEZ,Scenic,Historic Resource,Historic Resource (Date),Date Issued,PreGrade Inspection Date,Date Final Inspection,Date Completed,Payment for Application Fee,Payment for Security,Payment for WQMF,Payment for AQMF,Payment for OSMF,Payment for ECMF,SERV_PROV_CODE,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3
TRP24-90019,090-055-012-000,Residential Verification-Site Assessment,Wolheim-Site Assessment,Research,2/16/2024,8354,,CUTTHROAT,AVE,"Site Assessment

I'd like to find out what/if I am allowed to build. I am Interested in an building an ADU if allowed or at least a putting a shed bigger than 10' x 12'

PLEASE NOTE: THERE ARE CURRENTLY 2 PARCEL NUMBERS ASSOCIATED WITH THIS PROJECT. 090-055-012-000 and 090-055-017-000. Your system only allowed me to input one! 

I AM VOLUNTARILY MERGING THE two PARCELS - MY HOUSE STRADDLES BOTH PARCELS - SO I AM UNSURE WHY IT WAS RECORDED THAT ONE WAS VACANT. IT IS NOT VACANT. 
I HAVE Attached a letter form the planning department with permission to go ahead and get the site assessment scheduled. She does not see any reason it won't go through, it just is taking a long time - (I submitted and Paid in December).",Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0014Z
TRP24-90020,112-230-029-000,Residential Building TRPA Project,Whittemore - Addition,In Review,2/20/2024,1342,,KINGS,WY,"TRPA Project @ MOU

The project is a small living room addition and stairwell area on the second floor with an exterior door and minimal windows.  We are adding 463 square feet to the existing structure.

DPW will require the unpermitted shed/garage structure to be removed, along with the additional concrete driveway area. This structure doesn't meet the reduced setback exception for parking because a) they already have the required onsite parking with the existing garage, b) the driveway to the unpermitted addition is wider than allowed, and c) it is less than 20' from the edge of roadway pavement.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0016R
TRP24-90021,094-252-007-000,Residential Building TRPA Project,Zeissler - Addition and Reroof,Received,2/21/2024,699,,CHAPEL,LN,"TRPA QE @ MOU

New Roof with rebuild of back area. Prior to reroofing",Tahoe,Rebuild,Residential Rebuild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0018R
TRP24-90027,093-210-009-000,Residential Building TRPA Project,Mickiewicz - Addition / Remodel,In Review,2/23/2024,575,,VILLAGE,RD,"TRPA MOU

1. Demo existing deck above garage and replace with new living space.
2. Remodel the master bathroom.
3. Demo a portion of existing roof & rebuild to match new roof.
4. New driveway.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,001ZO
TRP24-90025,083-430-052-000,Residential Building Qualified Exempt,Kamcili - Remodel & Addition,Final Processing,2/28/2024,4087,,GSTAAD,RD,"TRPA QE @MOU

The interior of the existing residence is to be remodeled. Several Windows are to be removed/relocated/replaced. The roof is to be re-roofed. There is no change to coverage. TRPA Exempt.",Tahoe,Alteration,Residential Alteration or Remodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,001EV
TRP24-90028,112-240-008-000,Residential Building TRPA Project,Rogge Garage Improvement & Living Space Above,In Review,2/28/2024,1125,,REGENCY,WY,"Improve existing Garage structure to support new family room and bathroom above garage, replace destroyed Entry Roof (Winter of 2022/23) with new proposed Entry Addition, remove existing generator and remodel existing kitchen.

An entry addition between an existing detached garage and existing house.

Living Space Addition---1041 SF

1 Bathroom",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,00224
TRP24-90026,083-470-026-000,Residential Building TRPA Project,Viale - Addition / Remodel,In Review,2/29/2024,1008,,SKYLINE,DR,"TRPA Project @ MOU

Addition and Remodel to existing Single family residence.  

Existing conditioned floor area: 3,403 sf / Existing unconditioned floor area: 477 sf.  
Proposed additional conditioned floor area: 499 sf.
Proposed additional decks: 683 sf.  
Area of remodel: 1,399 sf.

Install elevator, reconfigure entry, add deck, remodel.

Front Propane Easement Abandonment ABAND24-00002 pending.

Subject to Recordable SSE and Hold Harmless ENCR24-00099.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,001FT
TRP24-90033,085-050-032-000,Residential Building Permit TRPA Review,Daugherty - New Detached Garage & ADU,In Review,3/12/2024,2975,W,LAKE,BLVD,"TRPA Project @ TRPA (ERSP2024-0039)

New 864 square foot detached garage with 720 square foot ADU above. 
Demolish & replace the existing driveway.
Remove & replace existing patio.",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002F5
TRP24-90029,111-160-029-000,Residential Building TRPA Project,"1275 Canterbury, LLC -  Deck Addition and Remodel",Received,3/15/2024,1275,,CANTERBURY,DR,"Remodel kitchen, 3 baths, demo 166 sf deck and re-build new 480 sf deck. 

Service panel change out permitted on BLD23-06121",Tahoe,Addition,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,00245
TRP24-90030,090-232-027-000,Residential Building Qualified Exempt,Murphy - ADU Addition,Received,3/19/2024,261,,BEND,AVE,"TRPA @ TRPA for Development Right

ADDITION TO SINGLE FAMILY RESIDENCE UNDER THE EXISTING WATERPROOF DECK AND IN A PORTION OF THE EXISTING CRAWLSPACE.",Tahoe,QE Structural Addition,Residential Alteration or Remodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,0028Z
TRP24-90031,098-240-011-000,Multi-Family Qualified Exempt,Ferro Residence - Interior Remodel,Received,3/20/2024,6435,,EMERALD,CIR,Remodel existing kitchen. Create new dormer at existing second level bathroom to create code compliant headroom. Remodel existing second level bathroom. This project does not change or create TRPA coverage. This project does not require any grading outside the existing building envelope. Two new piers will be pored in the existing crawl space. This project is being submitted as qualified exempt.,Tahoe,QE Structural Addition,Residential Alteration or Remodel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002A4
TRP24-90037,098-060-013-000,Residential Building TRPA Project,VanBreda-Ibrahim - New Detached Garage with ADU,Received,3/20/2024,6230,,CHAMBERLAND,DR,"TRPA Project @ MOU
TRPA @ TRPA for Development Right

676 SF detached ADU over 676 SF garage. 78 SF of deck. 38 SF of porch. Covered walkway (114 SF) from detached garage to existing residence. New unconditioned 68 SF mudroom attached to existing residence. Driveway to be removed from Chamberland Dr to Grouse Dr at new garage.",Tahoe,New,Residential Addition > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002OR
TRP24-90034,090-094-024-000,Residential Verification-Site Assessment,Cut Throat - Land Capability Verification,Received,3/25/2024,0,,NO ADDRESS ON FILE,,TRPA land capability verification.,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002GL
TRP24-90038,094-070-010-000,Non-Residential TRPA Review,Evo - Hotel Renovation,Received,3/25/2024,455,N,LAKE,BLVD,"TRPA @ TRPA (ERSP2024-0165)

Interior and Exterior renovation of existing hotel.

Design Review PLN24-00038 pending.",Tahoe,Rebuild,Hotel Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002PP
TRP24-90035,098-103-009-000,Residential Building TRPA Project,Constas - New Single Family Residence,Received,3/26/2024,390,,TANAGER,DR,The project includes the demolition of existing residence and the construction of a new single family residence.,Tahoe,New,Single Family > 3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002HG
TRP24-90036,112-100-052-000,Residential Verification-Site Assessment,Xu Bin - Site Assessment,Received,3/27/2024,6574,,IDLEWOOD,RD,,Tahoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLACERCO,24CAP,00000,002J9
